,Empresa_1,Empresa_2,Empresa_3,Empresa_4,Empresa_5,Empresa_6
2022-03-11,1584492.6820873544,2152913.2083610045,1116983.0278778311,10376.479799611905,11072.2395,366290.7416489228
2022-03-12,1553097.8515516128,2153686.053302469,1294347.2657779758,14486.045746304244,24934.255500000007,427119.0798234507
2022-03-13,1258713.5364751613,2180304.937686501,1253819.4791496738,8594.177873152123,5273.1,195503.15001573364
2022-03-14,1379538.6817520491,2243388.1814429555,1298438.5193454842,6965.584179389313,5445.888,254689.8953811489
2022-03-15,1527980.330782673,2206638.4108725353,1316800.3675502504,8573.565868836766,15945.184500000001,247119.41379669518
2022-03-16,1425598.3831346454,2194775.256676239,1218376.3754760935,9828.90405366555,8104.4775,141069.8015869753
2022-03-17,1546675.379580678,1993980.8785954549,1411667.8841230113,12393.016763285023,14962.573500000004,124121.55490931487
2022-03-18,1717165.7902517247,2101970.813580796,1559731.5067618997,17935.514452554744,27191.660999999996,219836.90645134624
2022-03-19,1859018.413240028,2117983.307709464,1486912.1911751826,18163.195372829425,46215.035999999986,508448.6734486951
2022-03-20,1965667.096839999,2121395.052932361,1247723.147793613,10052.157884130982,36675.659999999996,481703.19321035093
2022-03-21,1640129.3844906045,2158310.417489843,1036059.2077945857,4063.7647858942064,5824.0035,260569.7671573802
2022-03-22,1575763.0700497201,2125191.188249867,941179.3773490284,9420.641268985792,16464.882,259670.06923828652
2022-03-23,1663676.2064100362,2135260.423285896,851965.8830524875,11710.179087321167,20608.938,185720.60009754315
2022-03-24,1722988.8616062126,2179203.2297186167,810001.7625731078,14793.484816650152,29058.89699999998,205021.85423191276
2022-03-25,1784133.509613481,2175125.209831513,683973.3597621404,12506.192618857205,28119.073499999984,344868.3204898841
2022-03-26,1804927.2083890263,2167778.1326050963,623165.90294894,11805.088524590166,27646.772999999997,362758.3744691102
2022-03-27,1551758.3045380572,2116656.305959328,574918.1568936434,8849.995568802784,12710.197499999998,306111.6207887715
2022-03-28,1512655.8737474969,2132920.9819054427,650927.7829830165,13776.478471177945,8416.999500000002,338194.76729157154
2022-03-29,1434060.0123409552,2157616.127860479,615029.5637844541,15076.93835405271,13987.585499999997,239956.45348517605
2022-03-30,1348960.017641916,2101998.3429620517,615230.5752217995,14395.611915957985,11003.979000000001,194027.843672365
2022-03-31,1376068.3646395318,2136164.585565415,598138.5782909048,10264.012799597183,13223.731500000002,110991.74714366261
2022-04-01,1639224.4767352701,2021730.3132715758,702849.4161770509,13565.205251315845,20102.4075,419009.0206806219
2022-04-02,1638015.773506773,2034635.8254180548,770079.8092804048,11506.528297338022,41945.43150000001,474948.3080686244
2022-04-03,1443234.2867531867,2029537.706952873,640971.8957607776,10895.811366147665,15107.526,274119.899893929
2022-04-04,1438310.2112419151,2019860.9733267731,676533.5699433482,12273.762116935484,14891.772000000003,286510.0524238027
2022-04-05,1330251.7583696179,1974341.458967104,686552.7942444771,15792.469848024324,20752.998000000003,229822.04451573355
2022-04-06,1359417.3373774458,2040882.1625021428,634704.1359680515,12693.977336683416,16956.439500000004,247660.8301535586
2022-04-07,1391389.5847121468,2051693.8329728844,696433.8191791449,13496.929860418744,29225.080499999996,178789.13308050737
2022-04-08,1496521.6732058467,2067065.8402075584,728876.9217845665,11166.087916666665,33746.138999999996,301544.4144855039
2022-04-09,1597878.4396349278,2248451.47049081,857621.2784784598,12034.830075566751,38736.51599999999,461757.2611691177
2022-04-10,1564285.6984920998,2310052.304222857,908227.0070419871,10966.974790602659,22914.832499999997,439553.0894757076
2022-04-11,1856720.323813645,2195456.9633580483,860269.1407916468,10192.037534791252,21921.406499999997,482298.83928429434
2022-04-12,1823004.7319284289,2109057.4339562613,1012713.0064413524,13908.42266411119,28974.224999999995,471137.739282334
2022-04-13,1865605.9943647138,2040784.6327007462,1216186.3915792657,12224.393478103093,30914.81399999999,400020.12913682475
2022-04-14,2207676.2653789995,2291843.7969993954,1350556.119100535,13460.927142857148,45306.11400000001,679000.5982481969
2022-04-15,2253043.71119406,2301043.2759009455,1345035.6292528992,17215.775723542112,46069.128000000004,648427.5822043573
2022-04-16,2105790.3376842043,2293499.6183292363,1256627.5830361822,15348.297027579163,41786.4825,631665.7275773032
2022-04-17,1349776.4376180794,2090660.4392660977,1032900.4254038914,12319.19886649874,20621.590499999995,251951.96972813463
2022-04-18,1779259.4975409622,2188384.2963446793,906536.6375774038,12152.926341586657,19604.4135,499248.66849949735
2022-04-19,1914382.483855491,2195356.1044928147,830733.7395968019,14102.461771199196,28584.265499999998,532551.8702438097
2022-04-20,1832731.380823908,2259849.4259164766,883459.6444420365,17256.306666666667,26117.752500000006,506933.40189940477
2022-04-21,1932694.379523165,2243328.242405866,837656.8567377916,19678.42090364454,24964.148999999998,501769.3502133914
2022-04-22,1855689.066395702,2133439.5098102074,742089.1572315518,8436.00684542274,35403.4275,528445.8220714369
2022-04-23,1712705.4147322606,2051498.9618703441,542669.4553761607,9096.190763131814,31740.3765,518728.772178274
2022-04-24,1553981.3620165295,1995417.6437119534,350451.5573519589,9294.147145688801,10986.538499999999,241457.00883915916
2022-04-25,1550447.0535018472,2014254.180200096,276844.1962250126,6954.813860167405,13214.092500000002,315769.262077142
2022-04-26,1613366.946291373,1828112.208997111,262498.4834349822,7386.307900443567,16174.431000000002,358271.76230156864
2022-04-27,1594844.8037335475,1713908.5000772462,254297.01543942615,10616.709778869783,15065.998499999998,296529.6336883474
2022-04-28,1747303.5307826952,1776511.2501729222,304232.79618392605,13773.450762090864,21543.6375,251059.07135950413
2022-04-29,1817416.3272182217,1918656.6766175563,292586.78896036773,12173.629591439692,30137.49900000001,459771.067126951
2022-04-30,1783010.0160767268,1970105.057096808,262219.3395079496,14412.391813602013,31054.9575,467130.01023532863
2022-05-01,1349399.5301492675,1785838.0855559893,222557.26263626208,14533.889017632237,10327.842000000002,161164.9573297029
2022-05-02,1457143.6775757298,1806281.6972592056,289245.10691301594,12623.281030927836,15951.914999999997,246429.97441294268
2022-05-03,1349430.3214984664,1685630.8607209611,326312.08380585886,13334.54980392157,15438.580499999996,255982.40382212395
2022-05-04,1296897.81611999,1750805.7499424263,303523.5021670954,10903.616915887851,13996.1745,197580.3661593311
2022-05-05,1687735.6935820153,1957851.2374502108,334459.2107745267,12037.936453516968,16710.340500000002,266949.9624203223
2022-05-06,1787521.379055815,1874948.3011526405,380599.56843631965,14094.760573689417,20631.166499999996,466133.79673876707
2022-05-07,1681939.6159892797,1749389.317404782,378401.239653641,10951.45099901088,31300.374000000003,469851.27957204607
2022-05-08,1217387.8570157948,1685039.779918504,317264.0209871524,7581.721295746785,7452.763499999999,284921.507903154
2022-05-09,1320083.2428880716,1560337.0060755224,305263.9514336013,8227.659446502725,9282.955500000002,364603.0397595664
2022-05-10,1211791.6999025291,1528133.7782574524,242449.49015441225,7831.237058452936,5918.031000000001,333108.2883834387
2022-05-11,1088970.950710779,1516947.971481501,205893.18743763905,11934.560380914982,13739.491500000002,164389.05560180647
2022-05-12,1434905.4527488705,1544043.9123110152,207208.82066365596,12211.479157321119,15691.557,378414.4420841889
2022-05-13,1645084.8576202607,1693085.533865107,234240.407731796,14790.07850393701,24996.467999999993,438167.41242126
2022-05-14,1760445.8259055098,1724170.8006889757,258952.85639763778,16885.817716535435,29585.114999999994,435707.02986220474
2022-05-15,1274854.5076574795,1603269.3404921256,235159.47409448813,11771.053188976379,12475.616999999997,224172.01484251974
2022-05-16,1591860.5909055115,1651431.073602362,188359.2517125984,16297.250059582919,13906.830000000002,373858.49999270274
2022-05-17,1499246.3220472443,1569600.3694243045,209290.31055514465,16823.84318195854,8493.628499999999,381774.99484894064
2022-05-18,1586143.4104724424,1605869.377195263,238414.9111029873,20296.92377169563,11955.951,232927.89048402855
2022-05-19,1525847.6175984254,1783536.2289064126,328834.80443469895,19023.213339827613,22604.452500000003,300647.35214536503
2022-05-20,1710676.0171063002,1842132.743802406,631874.9259333977,18854.456077323386,24841.992,396881.4338753532
2022-05-21,1713725.718049803,1825350.6494949507,525924.4848448563,19595.323728294177,30619.879499999995,456607.2419615892
2022-05-22,1442382.7873745775,1875605.5418912813,321184.7542286981,10848.780710005538,10790.9025,218741.01373247957
2022-05-23,1637235.015341828,1835718.821325906,369795.4996771668,7043.671794600745,17959.231499999998,358657.1905643898
2022-05-24,1677739.6221994716,1794238.126250418,321688.8214030716,7269.890760129512,15525.930000000002,327858.3283631393
2022-05-25,1416402.9897165664,1547585.6702902925,335400.33384926507,8765.072480012072,29471.840999999997,327755.50190677337
2022-05-26,1562865.545041003,1712085.838170161,448249.21984110225,17204.324524163585,29466.549,232314.4207904661
2022-05-27,1555579.7089320337,1744969.546102218,600995.6877832611,17025.20312358222,19541.8755,399014.112020128
2022-05-28,1617873.8091451137,1756373.5127892261,636701.954221176,17900.939395249905,51173.89199999999,458152.9095784431
2022-05-29,1379350.7372352758,1747961.5617542786,549378.8975967627,12550.567072393183,9721.4985,256590.2233480015
2022-05-30,1455408.2044663078,1764234.6015262716,449859.26834762294,12438.272227438572,15657.6105,333814.0701847269
2022-05-31,1367005.3390641185,1674587.4886551143,375418.92661266046,8055.480373833694,17740.022999999994,281201.2392467927
2022-06-01,1319924.685193611,1687500.7781612473,350250.4876792868,9862.350176703567,10530.408000000001,226952.14037067114
